Entry,Species,Name,Nature,Item,Move1,Move2,Move3,Move4,EV,Speed,Instance,HP,Ability1,Ability2
935,Cresselia,CRESSELIA 3,Modest,Wise Glasses,Psychic,Shadow Ball,Energy Ball,Charge Beam,HP/SpA,105,3,227,Levitate,0
949,Cresselia,CRESSELIA 4,Modest,Leftovers,Psychic,Ice Beam,Signal Beam,Moonlight,HP/Def/SpD,105,4,216,Levitate,0
467,Crobat,CROBAT 1,Jolly,Payapa Berry,Cross Poison,Aerial Ace,Roost,Hypnosis,Atk/Spe,200,1,160,Inner Focus,0
603,Crobat,CROBAT 2,Docile,Razor Fang,Air Slash,Zen Headbutt,Bite,Twister,Atk/Spe,182,2,160,Inner Focus,0
739,Crobat,CROBAT 3,Modest,King's Rock,Air Slash,Sludge Bomb,Heat Wave,Dark Pulse,SpA/Spe,182,3,160,Inner Focus,0
875,Crobat,CROBAT 4,Adamant,Razor Claw,Cross Poison,Brave Bird,X-Scissor,Zen Headbutt,Atk/Spe,182,4,160,Inner Focus,0
379,Dewgong,DEWGONG 1,Careful,Razor Fang,Waterfall,Avalanche,Headbutt,Fake Out,Atk/SpD,90,1,165,Thick Fat,Hydration
515,Dewgong,DEWGONG 2,Calm,Wacan Berry,Ice Beam,Signal Beam,Encore,Disable,SpA/SpD,90,2,165,Thick Fat,Hydration
651,Dewgong,DEWGONG 3,Calm,Salac Berry,Sheer Cold,Horn Drill,Rest,Sleep Talk,HP/Def/SpD,90,3,186,Thick Fat,Hydration
787,Dewgong,DEWGONG 4,Calm,Chesto Berry,Surf,Ice Beam,Signal Beam,Rest,SpA/SpD,90,4,165,Thick Fat,Hydration
427,Donphan,DONPHAN 1,Impish,Razor Claw,Earthquake,Rock Slide,Poison Jab,Sandstorm,Atk/Def,70,1,165,Sturdy,0
563,Donphan,DONPHAN 2,Adamant,White Herb,Earthquake,Superpower,Gunk Shot,Counter,Atk/Def,70,2,165,Sturdy,0
699,Donphan,DONPHAN 3,Brave,Lax Incense,Earthquake,Gyro Ball,Fire Fang,Thunder Fang,Atk/Def,63,3,165,Sturdy,0
835,Donphan,DONPHAN 4,Adamant,Quick Claw,Earthquake,Stone Edge,Seed Bomb,Fissure,Atk/Def,70,4,165,Sturdy,0
481,Dragonite,DRAGONITE 1,Adamant,Lum Berry,Dragon Claw,Aerial Ace,Thunder Wave,Dragon Dance,Atk/SpD,100,1,166,Inner Focus,0
617,Dragonite,DRAGONITE 2,Adamant,Razor Claw,Dragon Rush,Fire Punch,ThunderPunch,Ice Punch,Atk/Def,100,2,166,Inner Focus,0
753,Dragonite,DRAGONITE 3,Modest,Expert Belt,Draco Meteor,Flamethrower,Thunderbolt,Surf,Def/SpA,100,3,166,Inner Focus,0
889,Dragonite,DRAGONITE 4,Adamant,Choice Band,Outrage,Giga Impact,Earthquake,Superpower,Atk/SpD,100,4,166,Inner Focus,0
432,Drapion,DRAPION 1,Adamant,Lum Berry,Poison Jab,Crunch,Aqua Tail,Acupressure,Atk/Def,115,1,145,Battle Armor,Sniper
568,Drapion,DRAPION 2,Adamant,Iron Ball,Payback,Poison Jab,Fling,Knock Off,Atk/Def,115,2,145,Battle Armor,Sniper
704,Drapion,DRAPION 3,Jolly,Scope Lens,Cross Poison,Fire Fang,Thunder Fang,Ice Fang,Atk/Spe,161,3,145,Battle Armor,Sniper
840,Drapion,DRAPION 4,Adamant,Razor Claw,Cross Poison,Night Slash,Earthquake,Aerial Ace,Atk/Spe,147,4,145,Battle Armor,Sniper
414,Drifblim,DRIFBLIM 1,Modest,Salac Berry,Ominous Wind,Air Cutter,Baton Pass,Endure,HP/SpA,100,1,257,Aftermath,Unburden
550,Drifblim,DRIFBLIM 2,Adamant,Black Sludge,Payback,Facade,Will-O-Wisp,Trick,HP/Atk,100,2,257,Aftermath,Unburden
686,Drifblim,DRIFBLIM 3,Modest,Wise Glasses,Psychic,Thunderbolt,Icy Wind,Destiny Bond,HP/SpA,100,3,257,Aftermath,Unburden
822,Drifblim,DRIFBLIM 4,Quirky,Lax Incense,Shadow Ball,Air Cutter,Silver Wind,Explosion,HP/Atk,100,4,257,Aftermath,Unburden
363,Dugtrio,DUGTRIO 1,Jolly,Grip Claw,Earthquake,Rock Slide,Astonish,Sand Tomb,Atk/Spe,189,1,110,Sand Veil,Arena Trap
499,Dugtrio,DUGTRIO 2,Modest,Lax Incense,Earth Power,Sludge Bomb,Tri Attack,Sandstorm,SpA/Spe,172,2,110,Sand Veil,Arena Trap
635,Dugtrio,DUGTRIO 3,Jolly,Razor Claw,Fissure,Giga Impact,Aerial Ace,Night Slash,Atk/Spe,189,3,110,Sand Veil,Arena Trap
771,Dugtrio,DUGTRIO 4,Adamant,Muscle Band,Earthquake,Stone Edge,Slash,Shadow Claw,Atk/Spe,172,4,110,Sand Veil,Arena Trap
462,Dusknoir,DUSKNOIR 1,Brave,Iron Ball,Shadow Punch,Fling,Will-O-Wisp,Trick Room,Atk/Def,58,1,120,Pressure,0
598,Dusknoir,DUSKNOIR 2,Careful,Leftovers,Curse,Pain Split,Confuse Ray,Attract,Def/SpD,65,2,120,Pressure,0
734,Dusknoir,DUSKNOIR 3,Adamant,Scope Lens,Shadow Punch,Fire Punch,ThunderPunch,Ice Punch,Atk/SpD,65,3,120,Pressure,0
870,Dusknoir,DUSKNOIR 4,Adamant,Muscle Band,Shadow Punch,Earthquake,Brick Break,Rock Slide,Def/SpD,65,4,120,Pressure,0
477,Electivire,ELECTIVIRE 1,Jolly,Scope Lens,ThunderPunch,Cross Chop,Thunder Wave,Screech,Atk/Spe,161,1,150,Motor Drive,0
613,Electivire,ELECTIVIRE 2,Hardy,Wide Lens,Thunder,DynamicPunch,Rock Slide,Iron Tail,Atk/SpA,115,2,150,Motor Drive,0
749,Electivire,ELECTIVIRE 3,Modest,Wise Glasses,Thunderbolt,Psychic,Focus Blast,Signal Beam,SpA/Spe,147,3,150,Motor Drive,0
885,Electivire,ELECTIVIRE 4,Adamant,Shuca Berry,ThunderPunch,Fire Punch,Ice Punch,Earthquake,Atk/Spe,147,4,150,Motor Drive,0
386,Electrode,ELECTRODE 1,Modest,Chesto Berry,Thunderbolt,Swift,Thunder Wave,Light Screen,SpA/Spe,192,1,135,Soundproof,Static
522,Electrode,ELECTRODE 2,Timid,Brightpowder,Charge Beam,Thunder Wave,Flash,Swagger,SpA/Spe,211,2,135,Soundproof,Static
658,Electrode,ELECTRODE 3,Timid,Damp Rock,Thunder,Hyper Beam,Magnet Rise,Rain Dance,SpA/Spe,211,3,135,Soundproof,Static
794,Electrode,ELECTRODE 4,Hardy,Focus Sash,Thunderbolt,Signal Beam,Explosion,Mirror Coat,SpA/Spe,192,4,135,Soundproof,Static
362,Empoleon,EMPOLEON 1,Adamant,Razor Claw,Waterfall,Metal Claw,Brick Break,Knock Off,Atk/SpD,80,1,159,Torrent,0
498,Empoleon,EMPOLEON 2,Adamant,Razor Claw,Drill Peck,Aqua Jet,Shadow Claw,Rock Slide,Atk/SpD,80,2,159,Torrent,0
634,Empoleon,EMPOLEON 3,Brave,Quick Claw,Surf,Earthquake,Blizzard,Signal Beam,Atk/SpA,72,3,159,Torrent,0
770,Empoleon,EMPOLEON 4,Brave,Quick Claw,Hydro Cannon,Flash Cannon,Drill Peck,Earthquake,Atk/SpA,72,4,159,Torrent,0
899,Entei,ENTEI 1,Jolly,Shuca Berry,Fire Fang,Return,Roar,Reflect,Atk/Spe,167,1,190,Pressure,0
913,Entei,ENTEI 2,Jolly,King's Rock,Fire Fang,Bite,Iron Head,Stone Edge,Atk/Spe,167,2,190,Pressure,0
927,Entei,ENTEI 3,Modest,Shuca Berry,Fire Blast,SolarBeam,Hyper Beam,Sunny Day,SpA/Spe,152,3,190,Pressure,0
941,Entei,ENTEI 4,Modest,Shuca Berry,Overheat,Extrasensory,Shadow Ball,Calm Mind,SpA/Spe,152,4,190,Pressure,0
455,Espeon,ESPEON 1,Timid,Lum Berry,Psychic,Reflect,Calm Mind,Baton Pass,SpA/Spe,178,1,140,Synchronize,0
591,Espeon,ESPEON 2,Timid,Brightpowder,Psychic,Swift,Charm,Attract,SpA/Spe,178,2,140,Synchronize,0
727,Espeon,ESPEON 3,Modest,Lum Berry,Psychic,Shadow Ball,Hyper Beam,Grass Knot,SpA/Spe,162,3,140,Synchronize,0
863,Espeon,ESPEON 4,Modest,Wise Glasses,Psychic,Shadow Ball,Signal Beam,Morning Sun,SpA/Spe,162,4,140,Synchronize,0
449,Exeggutor,EXEGGUTOR 1,Modest,Brightpowder,SolarBeam,Psychic,Synthesis,Sunny Day,HP/SpA,75,1,202,Chlorophyll,0
585,Exeggutor,EXEGGUTOR 2,Modest,Lum Berry,Dream Eater,Hypnosis,Leech Seed,Ingrain,HP/SpA,75,2,202,Chlorophyll,0
721,Exeggutor,EXEGGUTOR 3,Brave,Focus Sash,Wood Hammer,Zen Headbutt,Trick Room,Explosion,HP/Atk,67,3,202,Chlorophyll,0
857,Exeggutor,EXEGGUTOR 4,Modest,Expert Belt,Leaf Storm,Psychic,Sludge Bomb,AncientPower,HP/SpA,75,4,202,Chlorophyll,0
389,Exploud,EXPLOUD 1,Modest,Chople Berry,Hyper Voice,Extrasensory,Water Pulse,Torment,HP/SpA,88,1,211,Soundproof,0
525,Exploud,EXPLOUD 2,Adamant,Life Orb,Facade,Fire Punch,ThunderPunch,Ice Punch,HP/Atk,88,2,211,Soundproof,0
661,Exploud,EXPLOUD 3,Adamant,Life Orb,Facade,Earthquake,Avalanche,Crunch,HP/Atk,88,3,211,Soundproof,0
797,Exploud,EXPLOUD 4,Modest,White Herb,Hyper Voice,Overheat,Surf,Ice Beam,HP/SpA,88,4,211,Soundproof,0
356,Feraligatr,FERALIGATR 1,Adamant,King's Rock,Waterfall,Ice Fang,Rock Slide,Scary Face,Atk/Def,98,1,160,Torrent,0
492,Feraligatr,FERALIGATR 2,Adamant,White Herb,Aqua Tail,Superpower,Dragon Claw,Shadow Claw,Atk/Def,98,2,160,Torrent,0
628,Feraligatr,FERALIGATR 3,Modest,Wise Glasses,Hydro Cannon,Ice Beam,Focus Blast,AncientPower,Def/SpA,98,3,160,Torrent,0
764,Feraligatr,FERALIGATR 4,Adamant,Lum Berry,Waterfall,Earthquake,Ice Fang,Dragon Dance,Atk/Def,98,4,160,Torrent,0
454,Flareon,FLAREON 1,Adamant,Quick Claw,Fire Fang,Superpower,Curse,Baton Pass,Atk/SpD,85,1,140,Flash Fire,0
590,Flareon,FLAREON 2,Jolly,Salac Berry,Fire Fang,Flail,Endure,Sand-Attack,Atk/Spe,128,2,140,Flash Fire,0
726,Flareon,FLAREON 3,Modest,White Herb,Overheat,Shadow Ball,Mud-Slap,Will-O-Wisp,SpA/SpD,93,3,140,Flash Fire,0
862,Flareon,FLAREON 4,Adamant,White Herb,Fire Fang,Giga Impact,Superpower,Bite,Atk/SpD,85,4,140,Flash Fire,0
412,Floatzel,FLOATZEL 1,Jolly,Sitrus Berry,Waterfall,Ice Punch,Quick Attack,Rain Dance,Atk/Spe,183,1,160,Swift Swim,0
548,Floatzel,FLOATZEL 2,Jolly,Chesto Berry,Waterfall,Focus Punch,Double Team,Attract,Atk/Spe,183,2,160,Swift Swim,0
684,Floatzel,FLOATZEL 3,Modest,Wave Incense,Surf,Ice Beam,Focus Blast,Rain Dance,SpA/Spe,167,3,160,Swift Swim,0
820,Floatzel,FLOATZEL 4,Adamant,Razor Fang,Aqua Tail,Ice Fang,Crunch,Brick Break,Atk/Spe,167,4,160,Swift Swim,0
451,Flygon,FLYGON 1,Adamant,Yache Berry,Earthquake,Dragon Claw,Roost,Sandstorm,Atk/Spe,152,1,155,Levitate,0
587,Flygon,FLYGON 2,Jolly,Razor Fang,Fissure,Fire Punch,ThunderPunch,Aerial Ace,Atk/Spe,167,2,155,Levitate,0
723,Flygon,FLYGON 3,Timid,White Herb,Draco Meteor,Earth Power,Flamethrower,Giga Drain,SpA/Spe,167,3,155,Levitate,0
859,Flygon,FLYGON 4,Adamant,Lum Berry,Earthquake,Outrage,Crunch,Stone Edge,Atk/Spe,152,4,155,Levitate,0
372,Forretress,FORRETRESS 1,Brave,Occa Berry,Gyro Ball,Bug Bite,Revenge,Counter,Atk/Def,54,1,150,Sturdy,0
508,Forretress,FORRETRESS 2,Brave,Sitrus Berry,Payback,Stealth Rock,Toxic Spikes,Spikes,Atk/Def,54,2,150,Sturdy,0
644,Forretress,FORRETRESS 3,Adamant,Leftovers,Dig,Swagger,Toxic,Double Team,Atk/Def,60,3,150,Sturdy,0
780,Forretress,FORRETRESS 4,Adamant,Lax Incense,Explosion,Double-Edge,Earthquake,Rock Slide,Atk/Def,60,4,150,Sturdy,0
392,Froslass,FROSLASS 1,Timid,Cheri Berry,Ice Beam,Ominous Wind,Confuse Ray,Attract,SpA/Spe,178,1,145,Snow Cloak,0
528,Froslass,FROSLASS 2,Adamant,Focus Band,Ice Punch,Sucker Punch,Swagger,Psych Up,Atk/Spe,162,2,145,Snow Cloak,0
664,Froslass,FROSLASS 3,Modest,Expert Belt,Ice Beam,Thunderbolt,Signal Beam,Destiny Bond,SpA/Spe,162,3,145,Snow Cloak,0
800,Froslass,FROSLASS 4,Modest,Lax Incense,Blizzard,Shadow Ball,Psychic,Hail,SpA/Spe,162,4,145,Snow Cloak,0
448,Gallade,GALLADE 1,Careful,Kasib Berry,Zen Headbutt,Brick Break,Thunder Wave,Confuse Ray,Atk/SpD,100,1,143,Steadfast,0
584,Gallade,GALLADE 2,Jolly,Brightpowder,Drain Punch,Fire Punch,ThunderPunch,Ice Punch,Atk/Spe,145,2,143,Steadfast,0
720,Gallade,GALLADE 3,Adamant,Scope Lens,Psycho Cut,Stone Edge,Aerial Ace,X-Scissor,Atk/SpD,100,3,143,Steadfast,0
856,Gallade,GALLADE 4,Adamant,Scope Lens,Psycho Cut,Close Combat,Leaf Blade,Night Slash,Atk/SpD,100,4,143,Steadfast,0
485,Garchomp,GARCHOMP 1,Jolly,Brightpowder,Dragon Claw,Earthquake,Double Team,Sandstorm,Atk/Spe,169,1,183,Sand Veil,0
621,Garchomp,GARCHOMP 2,Modest,White Herb,Draco Meteor,Earth Power,Flamethrower,Surf,SpA/Spe,154,2,183,Sand Veil,0
757,Garchomp,GARCHOMP 3,Adamant,Focus Sash,Dragon Rush,Stone Edge,Aqua Tail,Aerial Ace,Atk/Spe,154,3,183,Sand Veil,0
893,Garchomp,GARCHOMP 4,Adamant,Persim Berry,Outrage,Earthquake,Crunch,Fire Fang,Atk/Spe,154,4,183,Sand Veil,0
