Entry,Name,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Move 1 Class,Move 2 Class,Move 3 Class,Move 4 Class,Possible Ability,Lv 100 speed,Lv 50 Speed,Attack,Defense,Support,Attack_50,Defense_50,Support_50,CONTAINS_ATK,ATK_COUNT,CONTAINS_DEF,DEF_COUNT,CONTAINS_SPT,SPT_COUNT,ALL3,NumClasses,R_ATK,R_DEF,NOMOVE,R_ATK_50,R_DEF_50,NOMOVE_50,AI_ATK,AI_DEF,AI_SPT,AI_ATK_50,AI_DEF_50,AI_SPT_50
11,Pichu 1,Pichu,1,Rash,Sitrus Berry,Sweet Kiss,Thunder Wave,Attract,Shock Wave,Sweet Kiss SPT,Thunder Wave SPT,Attract SPT,Shock Wave ATK,Static,156,80,0.3,0.13,0.57,0.27,0.06,0.67,1,1,0,0,1,3,0,2,0.065,0,0.065,0.03,0,0.03,0.3,0,0.57,0.27,0,0.67
12,Silcoon 1,Silcoon,1,Bashful,Lax Incense,Harden,---,---,---,Harden DEF,#N/A,#N/A,#N/A,Shed Skin,66,35,0.3,0.58,0.12,0.3,0.58,0.12,0,0,1,1,0,0,0,1,0,0.21,0.21,0,0.21,0.21,0,0.58,0,0,0.58,0
13,Cascoon 1,Cascoon,1,Bashful,Lax Incense,Harden,---,---,---,Harden DEF,#N/A,#N/A,#N/A,Shed Skin,66,35,0.3,0.58,0.12,0.3,0.58,0.12,0,0,1,1,0,0,0,1,0,0.21,0.21,0,0.21,0.21,0,0.58,0,0,0.58,0
14,Igglybuff 1,Igglybuff,1,Docile,Focus Band,Sweet Kiss,Sing,Attract,Seismic Toss,Sweet Kiss SPT,Sing SPT,Attract SPT,Seismic Toss ATK,Cute Charm,66,35,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,3,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
15,Wooper 1,Wooper,1,Docile,Sitrus Berry,Yawn,Dig,Water Pulse,Rain Dance,Yawn SPT,Dig ATK,Water Pulse ATK,Rain Dance DEF,Damp / Water Absorb,66,35,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
16,Tyrogue 1,Tyrogue,1,Docile,Focus Band,Mach Punch,Protect,Double Team,Facade,Mach Punch ATK,Protect DEF,Double Team DEF,Facade ATK,Guts,106,55,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
17,Sentret 1,Sentret,1,Docile,King's Rock,Quick Attack,Follow Me,Helping Hand,Assist,Quick Attack ATK,Follow Me DEF,Helping Hand DEF,Assist SPT,Run Away / Keen Eye,76,40,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,2,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
18,Cleffa 1,Cleffa,1,Serious,Lax Incense,Sweet Kiss,Sing,Attract,Metronome,Sweet Kiss SPT,Sing SPT,Attract SPT,Metronome SPT,Cute Charm,66,35,0.34,0.11,0.55,0.29,0.11,0.6,0,0,0,0,1,4,0,1,0,0,0.45,0,0,0.4,0,0,0.55,0,0,0.6
19,Seedot 1,Seedot,1,Docile,Focus Band,Bullet Seed,Bide,Defense Curl,Rollout,Bullet Seed ATK,Bide DEF,Defense Curl DEF,Rollout ATK,Chlorophyll / Early Bird,96,50,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
20,Lotad 1,Lotad,1,Docile,Lax Incense,Rain Dance,Water Pulse,Sunny Day,Mega Drain,Rain Dance DEF,Water Pulse ATK,Sunny Day DEF,Mega Drain ATK,Swift Swim / Rain Dish,96,50,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
21,Poochyena 1,Poochyena,1,Relaxed,Petaya Berry,Crunch,Swagger,Roar,Sand-Attack,Crunch ATK,Swagger SPT,Roar SPT,Sand-Attack SPT,Run Away,95,49,0.25,0.15,0.6,0.75,0.15,0.1,1,1,0,0,1,3,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
22,Shedinja 1,Shedinja,1,Naive,Lax Incense,Shadow Ball,Confuse Ray,Silver Wind,Grudge,Shadow Ball ATK,Confuse Ray SPT,Silver Wind ATK,Grudge DEF,Wonder Guard,196,101,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
23,Makuhita 1,Makuhita,1,Docile,Scope Lens,Fake Out,Seismic Toss,Detect,Whirlwind,Fake Out ATK,Seismic Toss ATK,Detect DEF,Whirlwind SPT,Thick Fat / Guts,86,45,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
24,Whismur 1,Whismur,1,Relaxed,Cheri Berry,Uproar,Swagger,Body Slam,SmellingSalt,Uproar ATK,Swagger SPT,Body Slam ATK,SmellingSalt ATK,Soundproof,82,43,0.25,0.15,0.6,0.75,0.15,0.1,1,3,0,0,1,1,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
25,Zigzagoon 1,Zigzagoon,1,Timid,Silk Scarf,Headbutt,Pin Missile,Swift,Sand-Attack,Headbutt ATK,Pin Missile ATK,Swift ATK,Sand-Attack SPT,Pickup,171,88,0.62,0.1,0.28,0.3,0.2,0.5,1,3,0,0,1,1,0,2,0.05,0,0.05,0.1,0,0.1,0.62,0,0.28,0.3,0,0.5
26,Zubat 1,Zubat,1,Sassy,Cheri Berry,Poison Fang,Whirlwind,Confuse Ray,Aerial Ace,Poison Fang ATK,Whirlwind SPT,Confuse Ray SPT,Aerial Ace ATK,Inner Focus,131,67,0.88,0.06,0.06,0.22,0.2,0.58,1,2,0,0,1,2,0,2,0.03,0,0.03,0.1,0,0.1,0.88,0,0.06,0.22,0,0.58
27,Togepi 1,Togepi,1,Relaxed,Lax Incense,Return,Yawn,Wish,Sweet Kiss,Return ATK,Yawn SPT,Wish DEF,Sweet Kiss SPT,Hustle / Serene Grace,68,36,0.25,0.15,0.6,0.75,0.15,0.1,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
28,Spinarak 1,Spinarak,1,Quirky,Liechi Berry,Signal Beam,Night Shade,Spider Web,Scary Face,Signal Beam ATK,Night Shade ATK,Spider Web SPT,Scary Face SPT,Swarm / Insomnia,96,50,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
29,Marill 1,Marill,1,Gentle,Mystic Water,Water Pulse,Rain Dance,Light Screen,Return,Water Pulse ATK,Rain Dance DEF,Light Screen DEF,Return ATK,Thick Fat / Huge Power,116,60,0.18,0.7,0.12,0.9,0.05,0.05,1,2,1,2,0,0,0,2,0.03,0.03,0.06,0.0125,0.0125,0.025,0.18,0.7,0,0.9,0.05,0
30,Hoppip 1,Hoppip,1,Lax,Lax Incense,Mega Drain,Leech Seed,Sleep Powder,Stun Spore,Mega Drain ATK,Leech Seed SPT,Sleep Powder SPT,Stun Spore SPT,Chlorophyll,136,70,0.35,0.1,0.55,0.29,0.06,0.65,1,1,0,0,1,3,0,2,0.05,0,0.05,0.03,0,0.03,0.35,0,0.55,0.29,0,0.65
31,Slugma 1,Slugma,1,Sassy,Sitrus Berry,Ember,Rock Slide,Yawn,Body Slam,Ember ATK,Rock Slide ATK,Yawn SPT,Body Slam ATK,Magma Armor / Flame Body,68,36,0.88,0.06,0.06,0.22,0.2,0.58,1,3,0,0,1,1,0,2,0.03,0,0.03,0.1,0,0.1,0.88,0,0.06,0.22,0,0.58
32,Swinub 1,Swinub,1,Gentle,Sitrus Berry,Icy Wind,Dig,Rock Tomb,Endure,Icy Wind ATK,Dig ATK,Rock Tomb ATK,Endure DEF,Oblivious,136,70,0.18,0.7,0.12,0.9,0.05,0.05,1,3,1,1,0,0,0,2,0.06,0,0.06,0.025,0,0.025,0.18,0.7,0,0.9,0.05,0
33,Smeargle 1,Smeargle,1,Hardy,King's Rock,ExtremeSpeed,Fake Out,Quick Attack,Mach Punch,ExtremeSpeed ATK,Fake Out ATK,Quick Attack ATK,Mach Punch ATK,Own Tempo,186,95,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
34,Pidgey 1,Pidgey,1,Lonely,Sharp Beak,Gust,Sand-Attack,Whirlwind,Quick Attack,Gust ATK,Sand-Attack SPT,Whirlwind SPT,Quick Attack ATK,Keen Eye,148,76,0.2,0.25,0.55,0.84,0.08,0.08,1,2,0,0,1,2,0,2,0.125,0,0.125,0.04,0,0.04,0.2,0,0.55,0.84,0,0.08
35,Rattata 1,Rattata,1,Docile,King's Rock,Hyper Fang,Pursuit,Quick Attack,Swagger,Hyper Fang ATK,Pursuit ATK,Quick Attack ATK,Swagger SPT,Run Away / Guts,180,92,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
36,Wynaut 1,Wynaut,1,Jolly,Lax Incense,Encore,Counter,Mirror Coat,Charm,Encore SPT,Counter SPT,Mirror Coat SPT,Charm SPT,Shadow Tag,90,47,0.35,0.05,0.6,0.35,0.6,0.05,0,0,0,0,1,4,0,1,0,0,0.4,0,0,0.95,0,0,0.6,0,0,0.05
37,Skitty 1,Skitty,1,Docile,BrightPowder,Sing,Attract,Charm,DoubleSlap,Sing SPT,Attract SPT,Charm SPT,DoubleSlap ATK,Cute Charm,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,3,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
38,Spearow 1,Spearow,1,Docile,Liechi Berry,Fury Attack,Pursuit,Mirror Move,Protect,Fury Attack ATK,Pursuit ATK,Mirror Move SPT,Protect DEF,Keen Eye,239,122,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
39,Hoothoot 1,Hoothoot,1,Quirky,Persim Berry,Confusion,Hypnosis,Supersonic,Reflect,Confusion ATK,Hypnosis SPT,Supersonic SPT,Reflect DEF,Insomnia / Keen Eye,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
40,Diglett 1,Diglett,1,Naive,King's Rock,Magnitude,Slash,Rock Tomb,Sand-Attack,Magnitude ATK,Slash ATK,Rock Tomb ATK,Sand-Attack SPT,Sand Veil / Arena Trap,317,161,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
41,Ledyba 1,Ledyba,1,Bashful,Sitrus Berry,Psybeam,Agility,Baton Pass,Light Screen,Psybeam ATK,Agility DEF,Baton Pass DEF,Light Screen DEF,Swarm / Early Bird,146,75,0.3,0.58,0.12,0.3,0.58,0.12,1,1,1,3,0,0,0,2,0,0.06,0.06,0,0.06,0.06,0.3,0.58,0,0.3,0.58,0
42,Nincada 1,Nincada,1,Calm,Pecha Berry,Mud-Slap,Dig,Toxic,Protect,Mud-Slap ATK,Dig ATK,Toxic SPT,Protect DEF,Compoundeyes,116,60,0.4,0.5,0.1,0.25,0.62,0.13,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.4,0.5,0.1,0.25,0.62,0.13
43,Surskit 1,Surskit,1,Relaxed,Mystic Water,BubbleBeam,Rain Dance,Sweet Scent,Quick Attack,BubbleBeam ATK,Rain Dance DEF,Sweet Scent SPT,Quick Attack ATK,Swift Swim,149,76,0.25,0.15,0.6,0.75,0.15,0.1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
44,Jigglypuff 1,Jigglypuff,1,Relaxed,Lax Incense,Sing,Wish,Mimic,DoubleSlap,Sing SPT,Wish DEF,Mimic SPT,DoubleSlap ATK,Cute Charm,68,36,0.25,0.15,0.6,0.75,0.15,0.1,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
45,Taillow 1,Taillow,1,Gentle,Salac Berry,Fly,Quick Attack,Endeavor,Focus Energy,Fly ATK,Quick Attack ATK,Endeavor ATK,Focus Energy DEF,Guts,248,126,0.18,0.7,0.12,0.9,0.05,0.05,1,3,1,1,0,0,0,2,0.06,0,0.06,0.025,0,0.025,0.18,0.7,0,0.9,0.05,0
46,Wingull 1,Wingull,1,Hardy,Persim Berry,Water Pulse,Fly,Quick Attack,Steel Wing,Water Pulse ATK,Fly ATK,Quick Attack ATK,Steel Wing ATK,Keen Eye,206,105,0.61,0.07,0.32,0.61,0.07,0.32,1,4,0,0,0,0,0,1,0.195,0,0.195,0.195,0,0.195,0.61,0,0,0.61,0,0
47,Nidoran? 1,Nidoran?,1,Quirky,Sitrus Berry,Double Kick,Poison Sting,Disable,Helping Hand,Double Kick ATK,Poison Sting ATK,Disable SPT,Helping Hand DEF,Poison Point,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
48,Nidoran? 1,Nidoran?,1,Quirky,Sitrus Berry,Crunch,Double Kick,Flatter,Helping Hand,Crunch ATK,Double Kick ATK,Flatter SPT,Helping Hand DEF,Poison Point,118,61,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
49,Kirlia 1,Kirlia,1,Docile,White Herb,Confusion,Will-O-Wisp,Future Sight,Light Screen,Confusion ATK,Will-O-Wisp SPT,Future Sight ATK,Light Screen DEF,Synchronize / Trace,199,102,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
50,Mareep 1,Mareep,1,Relaxed,Cheri Berry,Shock Wave,Flash,Reflect,Cotton Spore,Shock Wave ATK,Flash SPT,Reflect DEF,Cotton Spore SPT,Static,95,49,0.25,0.15,0.6,0.75,0.15,0.1,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
51,Meditite 1,Meditite,1,Naughty,Mental Herb,Hi Jump Kick,Meditate,Swagger,Psych Up,Hi Jump Kick ATK,Meditate DEF,Swagger SPT,Psych Up SPT,Pure Power,156,80,0.2,0.7,0.1,0.7,0.22,0.08,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.2,0.7,0.1,0.7,0.22,0.08
52,Slakoth 1,Slakoth,1,Quirky,Leftovers,Yawn,Scratch,Encore,Counter,Yawn SPT,Scratch ATK,Encore SPT,Counter SPT,Truant,96,50,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,3,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
53,Paras 1,Paras,1,Relaxed,Sitrus Berry,Spore,Leech Life,Slash,Light Screen,Spore SPT,Leech Life ATK,Slash ATK,Light Screen DEF,Effect Spore,77,40,0.25,0.15,0.6,0.75,0.15,0.1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
54,Ekans 1,Ekans,1,Docile,Poison Barb,Acid,Dig,Screech,Torment,Acid ATK,Dig ATK,Screech SPT,Torment SPT,Intimidate / Shed Skin,146,75,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
55,Ditto 1,Ditto,1,Hardy,Metal Powder,Transform,---,---,---,Transform SPT,#N/A,#N/A,#N/A,Limber,195,100,0.61,0.07,0.32,0.61,0.07,0.32,0,0,0,0,1,1,0,1,0,0,0.68,0,0,0.68,0,0,0.32,0,0,0.32
56,Barboach 1,Barboach,1,Bashful,Focus Band,Magnitude,Water Pulse,Spark,Future Sight,Magnitude ATK,Water Pulse ATK,Spark ATK,Future Sight ATK,Oblivious,156,80,0.3,0.58,0.12,0.3,0.58,0.12,1,4,0,0,0,0,0,1,0.35,0,0.35,0.35,0,0.35,0.3,0,0,0.3,0,0
57,Meowth 1,Meowth,1,Quirky,Persim Berry,Slash,Bite,Screech,Fake Out,Slash ATK,Bite ATK,Screech SPT,Fake Out ATK,Pickup,216,110,0.56,0.22,0.22,0.56,0.22,0.22,1,3,0,0,1,1,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
58,Pineco 1,Pineco,1,Quirky,Focus Band,Selfdestruct,Take Down,Reflect,Light Screen,Selfdestruct ATK,Take Down ATK,Reflect DEF,Light Screen DEF,Sturdy,66,35,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,2,0,0,0,2,0.055,0.055,0.11,0.055,0.055,0.11,0.56,0.22,0,0.56,0.22,0
59,Trapinch 1,Trapinch,1,Serious,Lax Incense,Toxic,Dig,Sandstorm,Sand-Attack,Toxic SPT,Dig ATK,Sandstorm DEF,Sand-Attack SPT,Hyper Cutter / Arena Trap,56,30,0.34,0.11,0.55,0.29,0.11,0.6,1,1,1,1,1,2,1,3,0,0,0,0,0,0,0.34,0.11,0.55,0.29,0.11,0.6
60,Spheal 1,Spheal,1,Docile,NeverMeltIce,Ice Ball,Water Pulse,Hail,Mud-Slap,Ice Ball ATK,Water Pulse ATK,Hail DEF,Mud-Slap ATK,Thick Fat,86,45,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
61,Horsea 1,Horsea,1,Relaxed,Petaya Berry,Water Gun,Agility,Icy Wind,Twister,Water Gun ATK,Agility DEF,Icy Wind ATK,Twister ATK,Swift Swim,140,72,0.25,0.15,0.6,0.75,0.15,0.1,1,3,1,1,0,0,0,2,0.3,0,0.3,0.05,0,0.05,0.25,0.15,0,0.75,0.15,0
62,Shroomish 1,Shroomish,1,Relaxed,Miracle Seed,Spore,Bullet Seed,Leech Seed,Headbutt,Spore SPT,Bullet Seed ATK,Leech Seed SPT,Headbutt ATK,Effect Spore,95,49,0.25,0.15,0.6,0.75,0.15,0.1,1,2,0,0,1,2,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
63,Shuppet 1,Shuppet,1,Rash,Rawst Berry,Will-O-Wisp,Night Shade,Grudge,Knock Off,Will-O-Wisp SPT,Night Shade ATK,Grudge DEF,Knock Off ATK,Insomnia,126,65,0.3,0.13,0.57,0.27,0.06,0.67,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.3,0.13,0.57,0.27,0.06,0.67
64,Duskull 1,Duskull,1,Quirky,Persim Berry,Skill Swap,Night Shade,Disable,Confuse Ray,Skill Swap SPT,Night Shade ATK,Disable SPT,Confuse Ray SPT,Levitate,149,77,0.56,0.22,0.22,0.56,0.22,0.22,1,1,0,0,1,3,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
65,Electrike 1,Electrike,1,Docile,Cheri Berry,Spark,Thunder Wave,Roar,Quick Attack,Spark ATK,Thunder Wave SPT,Roar SPT,Quick Attack ATK,Static / Lightningrod,229,117,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
66,Vulpix 1,Vulpix,1,Docile,Rawst Berry,Will-O-Wisp,Confuse Ray,Fire Spin,Quick Attack,Will-O-Wisp SPT,Confuse Ray SPT,Fire Spin ATK,Quick Attack ATK,Flash Fire,229,117,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
67,Pikachu 1,Pikachu,1,Docile,Light Ball,ThunderPunch,Thunder Wave,Double Team,Quick Attack,ThunderPunch ATK,Thunder Wave SPT,Double Team DEF,Quick Attack ATK,Static,279,142,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
68,Sandshrew 1,Sandshrew,1,Docile,Soft Sand,Dig,Rock Tomb,Sandstorm,Sand-Attack,Dig ATK,Rock Tomb ATK,Sandstorm DEF,Sand-Attack SPT,Sand Veil,116,60,0.56,0.22,0.22,0.56,0.22,0.22,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.56,0.22,0.22,0.56,0.22,0.22
69,Poliwag 1,Poliwag,1,Relaxed,Mystic Water,Hypnosis,Icy Wind,Water Gun,Rain Dance,Hypnosis SPT,Icy Wind ATK,Water Gun ATK,Rain Dance DEF,Water Absorb / Damp,251,127,0.25,0.15,0.6,0.75,0.15,0.1,1,2,1,1,1,1,1,3,0,0,0,0,0,0,0.25,0.15,0.6,0.75,0.15,0.1
70,Bellsprout 1,Bellsprout,1,Lax,Sitrus Berry,Razor Leaf,Acid,Stun Spore,Wrap,Razor Leaf ATK,Acid ATK,Stun Spore SPT,Wrap ATK,Chlorophyll,116,60,0.35,0.1,0.55,0.29,0.06,0.65,1,3,0,0,1,1,0,2,0.05,0,0.05,0.03,0,0.03,0.35,0,0.55,0.29,0,0.65
71,Geodude 1,Geodude,1,Brave,Focus Band,Magnitude,Rock Blast,Strength,Protect,Magnitude ATK,Rock Blast ATK,Strength ATK,Protect DEF,Rock Head / Sturdy,68,36,0.7,0.15,0.15,0.32,0.6,0.08,1,3,1,1,0,0,0,2,0.075,0,0.075,0.04,0,0.04,0.7,0.15,0,0.32,0.6,0
72,Dratini 1,Dratini,1,Docile,Persim Berry,Outrage,Thunder Wave,Supersonic,Water Pulse,Outrage ATK,Thunder Wave SPT,Supersonic SPT,Water Pulse ATK,Shed Skin,136,70,0.56,0.22,0.22,0.56,0.22,0.22,1,2,0,0,1,2,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0,0.22,0.56,0,0.22
73,Snubbull 1,Snubbull,1,Relaxed,Scope Lens,Bite,Charm,Swagger,Scary Face,Bite ATK,Charm SPT,Swagger SPT,Scary Face SPT,Intimidate / Run Away,86,45,0.25,0.15,0.6,0.75,0.15,0.1,1,1,0,0,1,3,0,2,0.075,0,0.075,0.075,0,0.075,0.25,0,0.6,0.75,0,0.1
74,Remoraid 1,Remoraid,1,Quirky,Petaya Berry,BubbleBeam,Aurora Beam,Psybeam,Protect,BubbleBeam ATK,Aurora Beam ATK,Psybeam ATK,Protect DEF,Hustle,229,117,0.56,0.22,0.22,0.56,0.22,0.22,1,3,1,1,0,0,0,2,0.11,0,0.11,0.11,0,0.11,0.56,0.22,0,0.56,0.22,0
75,Larvitar 1,Larvitar,1,Naughty,Persim Berry,Thrash,Rock Slide,Dig,Dragon Dance,Thrash ATK,Rock Slide ATK,Dig ATK,Dragon Dance DEF,Guts,118,61,0.2,0.7,0.1,0.7,0.22,0.08,1,3,1,1,0,0,0,2,0.05,0,0.05,0.04,0,0.04,0.2,0.7,0,0.7,0.22,0
